id,name,description,experience,attack,defence,hitpoints,damage,saveFort,saveReflex,saveWill,gold,image
1,DireRat,"Dire Rat is large and ferocious version of a normal rat. It is about the size of a small dog, with sharp teeth and claws. Its fur is mangy and often matted, and it has a long, rat-like tail. Despite its larger size, a dire rat is still quick and agile, able to move rapidly and attack with surprising speed.",100,4,15,5,1d4,3,5,3,40,DireRat.png
2,DireWezel,"Dire Weasels are ferocious and larger than their non-dire counterparts. They have a long, slim body with short legs, sharp claws, and a mouth full of sharp teeth. Their fur is usually dark brown or black, and they have keen senses that make them excellent hunters.",200,4,16,15,1d6+3,3,7,4,67.5,DireWezel.png
3,Dretch,"Dire Weasels are ferocious and larger than their non-dire counterparts. They have a long, slim body with short legs, sharp claws, and a mouth full of sharp teeth. Their fur is usually dark brown or black, and they have keen senses that make them excellent hunters.",300,3,16,15,1d4,3,3,3,67.5,Dretch.png
4,Azer,"Azer is a creature from Dungeons and Dragons, typically depicted as a muscular dwarf-like humanoid made of fiery red-hot metal. They have a head of wild, fiery hair, fiery beards, and their eyes glow red. They are usually depicted as wearing little clothing, as their metal skin provides natural protection. They often carry large hammers or axes made of the same fiery metal they are made of.",400,3--3,19,20,1d8+1,4,4,4,90,Azer.png
5,BlackBears,"Black bear is a large, fearsome carnivorous mammal with a shaggy coat of black fur, sharp teeth, and powerful claws. It stands on all fours, with a hulking, muscular body that can weigh up to 600 pounds. Its eyes are small and beady, and it has a long snout filled with sharp teeth. Despite its intimidating appearance, a black bear can move quickly and quietly through the forest, making it a dangerous predator for any adventurer who crosses its path.",500,7,16,35,1d8+5,4,7,4,157.5,BlackBears.png
6,Ghast,"Ghast is a revolting creature that resembles an emaciated and decayed humanoid. Its skin is a sickly pale green, and its eyes are dark and sunken. Its mouth is filled with sharp, yellowed teeth, and its breath emits a foul odor. The ghast's long, bony fingers end in razor-sharp claws, and its tattered clothing hangs loosely from its skeletal frame. It emits an aura of death and decay, and its presence is unnerving to those who encounter it.",600,4--2,16,35,1d8+2,1,3,5,157.5,Ghast.png
7,Grick,"Grick is a strange and unsettling creature that appears to be a hybrid between a large snake and a giant insect. It has a long, serpentine body covered in chitinous armor, with numerous pairs of sharp, insectoid legs. At the front of its body, it has a large, fanged maw that it uses to grasp and devour its prey. Its eyes are beady and black, and it seems to move with an unsettling, almost insect-like fluidity.",700,4--1,16,15,1d4+2,0,2,5,67.5,Grick.png
8,Zombies,"Zombies are undead creatures often created by dark magic or a contagious disease. They are reanimated corpses that shuffle along with a jerky gait and no sense of purpose other than to seek out and attack any living creatures in their vicinity. Their flesh is usually rotted and decayed, with pieces of flesh falling off as they move. Their eyes are lifeless and their moans are guttural and unnerving. Despite being slow and clumsy, zombies can be relentless and dangerous in large numbers.",800,2,11,20,1d6+1,0,-1,3,90,Zombies.png
9,Gravehound,"Gravehound is a large dog-like creature with black fur, glowing red eyes, and sharp teeth. Its body is muscular and well-built, with powerful legs and a thick tail. Its claws are long and curved, and its ears are pointed and perked up. The Gravehound emits a low growl as it circles its prey, always ready to pounce with deadly force. Its scent is that of death and decay, and those who come across a Gravehound know that danger is imminent.",900,9--3,16,44,2d6+4,5,5,4,198,Gravehound.png
10,EtheralMarader,"The Ethereal Marauder is a fearsome creature, one that is seldom seen by mortal eyes. Its body appears to be a swirling mass of dark, smoky mist, with glowing eyes that burn with an otherworldly energy. Despite its incorporeal form, the Ethereal Marauder is capable of interacting with the physical world, its long, clawed limbs capable of striking with deadly force. The creature seems to be in a constant state of motion, its form never settling into a fixed shape or position. This makes it difficult to get a clear look at the Ethereal Marauder, even for those who are brave enough to face it in combat. Its eerie presence fills the air with a palpable sense of dread, as if the very fabric of reality were being twisted and distorted by its presence.",1000,4,14,10,1d6+6,3,4,1,45,EtheralMarader.png
